LINGUISTIC_TYPE_ID,CONSTRAINTS
partT,NA
refT,NA
partT,NA
orthT,Symbolic_Association
ft-engT,Symbolic_Association
ft-deuT,Symbolic_Association
ft-rusT,Symbolic_Association
ft-sweT,Symbolic_Association
ft-finT,Symbolic_Association
ft-lingT,Symbolic_Association
ft-nobT,Symbolic_Association
phonet-upaT,Symbolic_Association
phonol-cyrT,Symbolic_Association
translit-latT,Symbolic_Association
phonet-ipaT,Symbolic_Association
phonol-latT,Symbolic_Association
wordT,Symbolic_Subdivision
posT,Symbolic_Subdivision
lgT,Symbolic_Association
lemmaT,Symbolic_Subdivision
morphT,Symbolic_Subdivision
commentT,NA
